Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Oliver Patrick,England,,checked,Accrington Stanley,England,League Two,CM,Right,Balanced,Controller,Engine,Conductor,78,,
Joe Pritchard,England,,checked,Accrington Stanley,England,League Two,CM,Right,Balanced,Engine,Creator,,80,,
Anjola Popoola,England,,checked,Accrington Stanley,England,League Two,CF,Right,Attacking,Sprinter,Striker,Assassin,75,,
Jay Rich-Baghuelou,Australia,,checked,Accrington Stanley,England,League Two,CD,Right,Balanced,Aerial,Powerhouse,Bulldozer,80,,
Connor O'Brien,England,,checked,Accrington Stanley,England,League Two,WD ,Left,Cautious,Commander,Engine,General,76,,
Kelvin Mellor,England,,checked,Accrington Stanley,England,League Two,WD ,Right,Balanced,Engine,Cover,,80,,
Shaun Whalley,England,,checked,Accrington Stanley,England,League Two,WM,Right,Attacking,Engine,Creator,,80,,
Korede Adedoyin,Nigeria,,checked,Accrington Stanley,England,League Two,CF,Right,Attacking,Sprinter,Creator,Livewire,79,,
Dan Martin,England,,checked,Accrington Stanley,England,League Two,CM,Right,Cautious,Engine,Cover,,77,,
Lewis Trickett,Northern Ireland,,checked,Accrington Stanley,England,League Two,WF,Right,Attacking,Sprinter,Creator,Livewire,76,,
Jack Massey,England,,checked,Accrington Stanley,England,League Two,WM,Right,Attacking,Engine,Sprinter,,74,,
Aaron Pickles,England,,checked,Accrington Stanley,England,League Two,CD,Right,Cautious,Aerial,Stopper,Colossus,75,,
Toby Savin,England,,checked,Accrington Stanley,England,League Two,GK,Right,Cautious,Aerial,Acrobat,Custodian,80,,
Sebastian Quirk,England,,checked,Accrington Stanley,England,League Two,WD ,Right,Balanced,Sprinter,Cover,Flanker,78,,
Liam Coyle,England,,checked,Accrington Stanley,England,League Two,CM,Right,Cautious,Engine,Commander,,82,,
Leslie Adekoya,Ireland,,checked,Accrington Stanley,England,League Two,,,,,,,,,
Tyler Walton,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Seamus Conneely,Ireland,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Michael Kelly,Ireland,,checked,AFC Wimbledon,England,League Two,GK,,,,,,,,
Baba Fernandes,Guinea-Bissau,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Rosaire Longelo,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Bailey Sloane,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Jack Nolan,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Liam Isherwood,England,,checked,AFC Wimbledon,England,League Two,GK,,,,,,,,
Oliver Riva,England,,checked,AFC Wimbledon,England,League Two,GK,,,,,,,,
Ben Woods,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Jack McIntyre,England,,checked,AFC Wimbledon,England,League Two,GK,,,,,,,,
Josh Woods,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Matt Lowe,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Sean McConville,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Emerich Poilly,France,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Alex Henderson,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Tommy Leigh,England,,checked,AFC Wimbledon,England,League Two,,,,,,,,,
Kelsey Mooney,England,,checked,"AFC Wimbledon,Accrington Stanley","England, England",League Two,CF,Right,Attacking,Sprinter,Striker,Assassin,75,,
Leandro Trossard,Belgium,Rotation,checked,Arsenal,England,Premier League,WF,Right,Balanced,Creator,Dribbler,Magician,88,Rotation,Premium
Bukayo Saka,England,Starter,checked,Arsenal,England,Premier League,WF,Left,Balanced,Dribbler,Striker,Attacker,92,Key,Not For Sale
Gabriel Jesus,Brazil,Rotation,checked,Arsenal,England,Premier League,CF,Right,Balanced,Creator,Dribbler,Magician,87,Rotation,Available
Declan Rice,England,Starter,checked,Arsenal,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,92,Key,Not For Sale
Martin Odegaard,Norway,Key,checked,Arsenal,England,Premier League,CM,Left,Attacking,Creator,Passer,Maestro,92,Key,Not For Sale
William Saliba,France,Starter,checked,Arsenal,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,91,Key,Not For Sale
Gabriel Martinelli,Brazil,Rotation,checked,Arsenal,England,Premier League,WF,Right,Balanced,Sprinter,Striker,Assassin,88,Rotation,Premium
