Name,Nation,Club,Position,Foot,Mentality,Primary Class,Secondary Class,Model,Level
Kevin De Bruyne,Belgium,Manchester City,CM,R,Attacking,Creator,Passer,Maestro,93
Rodri,Spain,Manchester City,CM,R,Balanced,Controller,Engine,Conductor,93
Jude Bellingham,England,Real Madrid,CM,R,Balanced,Creator,Engine,Catalyst,93
Kylian Mbappe,France,PSG,WF,R,Attacking,Sprinter,Striker,Ghost,92
Vinicius Juinor,Brazil,Real Madrid,WF,R,Attacking,Creator,Dribbler,Magician,92
Harry Kane,England,Bayern Munich,CF,R,Balanced,Striker,Aerial,Hitman,92
Erling Haaland,Norway,Manchester City,CF,L,Attacking,Powerhouse,Striker,Spearhead,92
Ederson,Brazil,Manchester City,GK,L,Cautious,Distributor,Sweeper,Libero GK,91
Alisson Becker,Brazil,Liverpool,GK,R,Cautious,Acrobat,Distributor,All-Rounder,91
Kyle Walker,England,Manchester City,WD ,R,Cautious,Sprinter,Engine,Shuttler,91
Virgil van Dijk,Netherlands,Liverpool,CD,R,Cautious,Stopper,Controller,Lynchpin,91
Ruben Dias,Portugal,Manchester City,CD,R,Balanced,Stopper,Controller,Lynchpin,91
Martin Odegaard,Norway,Arsenal,CM,L,Balanced,Creator,Passer,Maestro,91
Phil Foden,England,Manchester City,CM,L,Attacking,Creator,Striker,Fantasista,91
Toni Kroos,Germany,Real Madrid,CM,E,Balanced,Controller,Passer,Regista,91
Lionel Messi,Argentina,Inter Miami,WF,L,Attacking,Creator,Dribbler,Magician,91
Robert Lewandowski,Poland,Barcelona,CF,R,Balanced,Striker,Aerial,Hitman,91
William Saliba,France,Arsenal,CD,R,Cautious,Stopper,Controller,Lynchpin,90
John Stones,England,Manchester City,CD,R,Balanced,Engine,Cover,Dynamo,90
Lucas Paqueta,Brazil,West Ham,CM,L,Attacking,Creator,Passer,Maestro,90
Bernardo Silva,Portugal,Manchester City,CM,L,Balanced,Creator,Engine,Catalyst,90
