Name,Active,Nation,Club,Physique,Character,Primary Class,Secondary Class,Position,Model,Level,Base Value,Decisions,Composure,Tempo,First Touch,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Flair,Balace,Set Piece,Carries,Penalty,Long,Close,Through,Range,Accuracy,Cross,Takeons,Skills,Anticipation,Stamina,Recovery,Pressing,Intensity,Tackling,Marking,Blocking,Bravery,Positioning,Concentraion,Awareness,Aerial Duels,Reactions,Pace,Acceleration,Agility,Physicality,Hold Up,Duels,Aggression,Coordination,Jumping,Heading,Foot,Mentality
Ronaldo Nazario da Lima,,,Retired,,,Striker,Creator,Central Forward,Assassin,94,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
Thierry Henry,,France,Retired,Rapid,Talismanic,Striker,Creator,Central Forward,Assassin,93,£200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Gareth Bale,,Wales,Retired,Powerful,Determined,Striker,Sprinter,Wide Forward,Rocket,93,£180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Nemanja Vidić,,Serbia,Retired,Powerful,Aggressive,Stopper,Powerhouse,Central Defender,Rock,92,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Cautious
Erling Haaland,checked,Norway,Manchester City,Powerful,Competitive,Powerhouse,Striker,Central Forward,Spearhead,92,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Steven Gerrard,,England,Retired,Dynamic,Relentless,Creator,Passer,Central Midfielder,Maestro,92,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Kevin De Bruyne,checked,Belgium,Manchester City,Powerful,Classy,Creator,Passer,Central Midfielder,Maestro,92,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Attacking
Rodri,checked,Spain,Manchester City,Robust,Competitive,Controller,Engine,Central Midfielder,Conductor,92,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Edwin van der Sar,,Netherlands,Retired,Tall,Reliable,Distributor,Sweeper,Keeper,Libero GK,92,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Petr Čech,,Czech Republic,Retired,Imposing,Composed,Orthodox,Commander,Keeper,Sentinel,92,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Cautious
Ederson,checked,Brazil,Manchester City,Athletic,Composed,Distributor,Sweeper,Keeper,Libero GK,92,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Attacking
Ashley Cole,,England,Retired,Speedy,Tenacious,Sprinter,Cover,Wide Defender,Flanker,92,£120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Balanced
Kylian Mbappe,checked,France,PSG,Rapid,Mercurial,Sprinter,Striker,Wide Forward,Ghost,92,£200000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Attacking
David Beckham,,England,Retired,Athletic,Determined,Passer,Creator,Wide Midfielder,Radar,92,£150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Rio Ferdinand,,England,Retired,Powerful,Composed,Stopper,Controller,Central Defender,Lynchpin,91,£140000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Jaap Stam,,Netherlands,Retired,Imposing,Aggressive,Powerhouse,Stopper,Central Defender,Enforcer,91,£110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Vincent Kompany,,Belgium,Retired,Imposing,Resolute,Stopper,Powerhouse,Central Defender,Rock,91,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Virgil van Dijk,checked,Netherlands,Liverpool,Dominant,Composed,Stopper,Aerial,Central Defender,Centre Back,91,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Balanced
Ruben Dias,checked,Portugal,Manchester City,,,Stopper,Controller,Central Defender,Lynchpin,91,£100000000.0,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,R,Balanced
