Name,Nation,Club,Position,Mentality,Foot,Primary Class,Secondary Class,Model,Level,Peak,DOB,Age,YOB
Stefano Turati,,,GK,,,,,,86,
Blaswich,,,GK,,,,,,86,
Kamal Grabara,,,GK,,,,,,85,
Brice Samba,,,GK,,,,,,85,
Marmadashvili,Georgia,,GK,,,,,,85,
Vanja Milenkovic-Savic,,,GK,,,,,,85,
Lucas Perri,,,GK,,,,,,85,
Steve Mandanda,France,,GK,,,,,,,
Mickaël Landreau,France,,GK,,,,,,,
Iker Casillas,Spain,,GK,,,,,,,
Julio Cesar,Brazil,,GK,,,,,,,
Jorge Campos,Mexico,,GK,,,,,,,
Harold Schumacher,Germany,,GK,,,,,,,
Rene Higuita,,,GK,,,,,,,
Andreas Kopke,Germany,,GK,,,,,,,
Rogerio Ceni,Brazil,,GK,,,,,,,
Vitor Baia,Portugal,,GK,,,,,,,
Vladimir Beara,Yugoslavia,,GK,,,,,,,
Dino Zoff,Italy,,GK,,,,,,,
Francesco Toldo,Italy,,GK,,,,,,,
Paul Robinson,England,,GK,,,,,,,
Muslera,Uruguay,,GK,,,,,,,
Sepp Maier,,,GK,,,,,,,
Peter Shilton,England,,GK,,,,,,,
Heurelho Gomes,Brazil,,GK,,,,,,,
Roman Weidenfeller,Germany,,GK,,,,,,,
Fabian Barthez,France,,GK,,,,,,,
Pat Jennings,Northern Ireland,,GK,,,,,,,
Gianluca Pagliuca,Italy,,GK,,,,,,,
Stefan Klos,Germany,,GK,,,,,,,
Igor Akinfeev,Russia,,GK,,,,,,,
David Seaman,England,,GK,,,,,,,
Artur Boruc,Poland,,GK,,,,,,,
Stanley Menzo,Netherlands,,GK,,,,,,,
David James,England,,GK,,,,,,,
Gyula Grosics,Hungary,,GK,,,,,,,
Dida,Brazil,,GK,,,,,,,
Jose Luis Chilavert,Chile,,GK,,,,,,,
Gregory Coupet,France,,GK,,,,,,,
Buyo,Spain,,GK,,,,,,,
Lev Yashin,USSR,,GK,,,,,,,
Rustu Recber,Turkey,,GK,,,,,,,
Bruce Grobblear,Zimbabwe,,GK,,,,,,,
Salvatore Fresi,Italy,,CD,,,,,,,86
Ronald Koeman,Netherlands,,CD,,,,,,,88
Walter Samuel,Uruguay,,CD,,,,,,,91
Danny Blind,Netherlands,,CD,,,,,,,87
Fernando Hierro,Spain,,CD,,,,,,,89
Franco Baresi,Italy,,CD,,,,,,,93
Tomas Hubschmann,87,,CD,,,,,,,
Matthew Upson,England,,CD,,,,,,,85
Aldair,Brazil,,CD,,,,,,,88
Matthias Sammer,Germany,,CD,,,,,,,90
Ivan Helguera,Spain,,CD,,,,,,,86
Jurgen Kohler,Germany,,CD,,,,,,,
Terry Butcher,England,,CD,,,,,,,86
Claudio Gentile,,,CD,,,,,,,
Laurent Blanc,France,,CD,,,,,,,89
Carles Puyol,Spain,,CD,,,,,,,89
Robert Jonquet,France,,CD,,,,,,,88
Bobby Moore,England,,CD,,,,,,,
Franz Beckenbauer,Germany,,CD,,,,,,,95
Ivan Campo,Spain,,CD,,,,,,,85
Dele Alli,England,,CM,Attacking,R,Creator,Engine,Catalyst,83,87
Edgar Davids,Netherlands,,CM,,,,,,,92
Clarence Seedorf,Netherlands,,CM,,,,,,,93
Johan Neeskens,Netherlands,,CM,,,,,,,91
Costinha,Portugal,,CM,,,,,,,88
Michael Ballack,,,CM,,,,,,,92
Ruud Krol,Netherlands,,CM,,,,,,,90
Didier Deschamps,France,,CM,,,,,,,89
David Pizarro,Chile,,CM,,,,,,,88
Pep Guardiola,Spain,,CM,,,,,,,92
David Albelda,Spain,,CM,,,,,,,88
Marcel Desailly,France,,CM,,,,,,,93
Ruben Baraja,Spain,,CM,,,,,,,89
Dunga,Brazil,,CM,,,,,,,88
Andrea Pirlo,Italy,,CM,,,,,,,93
Eric Abidal,France,,WD,,,,,,,88
Daniel Alves,Brazil,,WD,,,,,,,94
Roberto Carlos,Brazil,,WD,,,,,,,92
Tarcisio Burgnich,Italy,,WD,,,Powerhouse,Stopper,,,87
Maxwell,Brazil,,WD,,,,,,,87
Slavan Bilic,Croatia,,WD,,,,,,,84
Djalma Santos,Brazil,,WD,,,,,,,90
Dede,Brazil,,WD,,,,,,,87
Phillip Lahm,Germany,,WD,,,,,,,90
Carlos Alberto,Brazil,,WD,,,,,,,90
Cafu,Brazil,,WD,,,,,,,92
