Name,Active,Level,Peak,Club,Division,Mentality,Position,Foot,Nation,Primary Class,Secondary Class,Model,Physique,Character,Base Value
Mohamed Elneny,checked,84,85,Arsenal,Premier League,Central Midfielder,Cautious,R,Egypt,Engine,Cover,Dynamo,,,
Cedric Soares,checked,82,84,Arsenal,Premier League,Wide Defender,Balanced,R,Portugal,Engine,Cover,Dyanmo,,,
Tyreece John-Jules,checked,79,79,Arsenal,Premier League,Central Forward,Balanced,R,England,,,,,,
Carlton Morris,checked,85,85,Luton Town,Premier League,Central Forward,Balanced,R,England,,,,,,
Jacob Brown,checked,83,83,Luton Town, Premier League,Central Forward,Balanced,R,Scotland,Engine,Creator,,,,
Alfie Doughty,checked,83,83,Luton Town, Premier League, Wide Midfielder,Balanced,L,England,Sprinter,Passer,,,,
Tom Lockyer,checked,81,82,Luton Town, Premier League, Central Defender, Cautious,R,England,Commander,Stopper,,,,
Andros Townsend,checked,83,84,Luton Town, Premier League,Wide Midfielder, Attacking, L, England,Creator,Striker,,,,
Pelly-Ruddock Mpanzu,checked,79,80,Luton Town,Premier League,Central Midfielder,Balanced,R,DR Congo,Engine, Powerhouse,,,,
Issa Kaboré,checked,83,83,Luton Town,Premier League,Wide Defender,Balanced,R,Burkina Faso,Sprinter,Dribbler,,,,
Gabriel Osho,checked,82,82,Luton Town,Premier League,Central Defender,Cautious,R,Nigeria,Powerhouse,Stopper,,,,
Reece Burke,checked,82,82,Luton Town,Premier League,Central Defender,Balanced,R,England,Stopper,Powerhouse,,,,
Amari'i Bell,checked,Luton Town,Premier League,Central Defender,Balanced,R,England,Stopper,Powerhouse,,,,
Cauley Woodrow,checked,81,82,Luton Town,Premier League,Central Forward,Balanced,R,England,Creator,Engine,Catalyst,,,
Matty Cash,checked,83,83,Aston Villa,Premier League,Wide Defender,Attacking,R,Poland,Sprinter,Engine,,,,
Jacob Ramsey,checked,84,84,Aston Villa,Premier League,Wide Midfielder, Attacking,R,England,Dribbler,Creator,,,,
Lucas Digne,checked,85,85,Aston Villa,Premier League,Wide Defender,Attacking,L,France,Passer,Cover,Provider,,
Tyrone Mings,checked,84,84,Aston Villa,Premier League,Central Defender,Cautious,L,England,Stopper,Aerial,,,,
Leon Bailey,checked,88,88,Aston Villa, Premier League,Wide Forward,Attacking,L,Jamaica,Creator,Dribbler,,,,
John Duran,checked,83,83,Aston Villa,Premier League,Central Forward,Balanced,R,Colombia,Powerhouse,Striker,,,,
Cameron Archer,checked,83,83,Sheffield United,Premier League,Central Forward,Attacking,R,England,Sprinter,Striker,,,,
Tim Ireogbunam,checked,81,81,Aston Villa,Premier League,Central Midfielder,Cautious,R,England,Cover,Powerhouse,,,,
Robin Olsen,checked,83,83,Aston Villa,Premier League,Keeper,Cautious,R,Sweden,Acrobat,Orthodox,,,,
Emiliano Buendia,checked,84,84,Aston Villa,Premier League,Wide Midfielder,Balanced,R,Argentina,Engine,Creator,,,
Kevin Schade,checked,83,83,Brentford,Premier League,Wide Forward,Balanced,R,Germany,Sprinter,Striker,,,,
Aaron Hickey,checked,83,83,Brentford,Premier League,Wide Defender,Attacking,R,Scotland,Sprinter,Cover,Shadow,,,
Yoane Wissa,checked,85,85,Brentford,Premier League,Wide Forward,Balanced,R,DR Congo,Sprinter,Creator,,
Nathan Collins,checked,84,84,Brentford,Premier League,Central Defender,Balanced,R,Ireland,Aerial,Powerhouse,,
Christian Norgaard,checked,84,84,Brentford,Premier League,Central Midfielder,Cautious,R,Denmark,Cover,Engine,,
Mikkel Damsgaard,checked,83,83,Brentford,Premier League,Central Midfielder,Attacking,R,Denmark,Creator,Engine,Catalyst,,,
Rico Henry,checked,Brentford,Premier League,,,,,,,,,,
Mathias Jensen,checked,Brentford,Premier League,,,,,,,,,,
Kristoffer Ajer,checked,Brentford,Premier League,,,,,,,,,,
Keane Lewis-Potter,checked,Brentford,Premier League,,,,,,,,,,
Vitaly Janelt,checked,Brentford,Premier League,,,,,,,,,,
Ethan Pinnock,checked,84,84,Brentford,Premier League,,,,,,,,,,
Yehor Yarmoliuk,checked,82,82,Brentford,Premier League,,,,,,,,,,
Mark Flekken,checked,84,84,Brentford,Premier League,,,,,,,,,,
Mads Roerslev,checked,83,83,Brentford,Premier League,,,,,,,,,,
Josh Dasilva,checked,82,82,Brentford,Premier League,,,,,,,,,,
Mads Bidstrup,checked,Brentford,Premier League,,,,,,,,,,
Thomas Strakosha,checked,Brentford,Premier League,,,,,,,,,,
Shandon Baptiste,checked,Brentford,Premier League,,,,,,,,,,
Frank Onyeka,checked,Brentford,Premier League,,,,,,,,,,
Mathias Jorgensen,checked,Brentford,Premier League,,,,,,,,,,
Saman Ghoddos,checked,Brentford,Premier League,,,,,,,,,,
Michael Olakigbe,checked,Brentford,Premier League,,,,,,,,,,
James Milner,checked,84,84,Brighton,Premier League,,,,,,,,,,
Jason Steele,checked,83,83,Brighton,Premier League,,,,,,,,,,
Joao Pedro,checked,85,85,Brighton,Premier League,,,,,,,,,,
Mohmoud Dahoud,checked,84,84,Brighton,Premier League,,,,,,,,,,
Billy Gilmour,checked,84,84,Brighton,Premier League,,,,,,,,,,
Jan Paul van Hecke,checked,84,84,Brighton,Premier League,,,,,,,,,,
Simon Adingra,checked85,85,Brighton,Premier League,,,,,,,,,,
Jakub Moder,checked,83,83,Brighton,Premier League,,,,,,,,,,
Julio Enciso,checked,85,85,Brighton,Premier League,,,,,,,,,,
Facundo Buonanotte,checked,83,83,Brighton,Premier League,,,,,,,,,,
Bart Verbruggen,checked,84,84,Brighton,Premier League,,,,,,,,,,
Josh Cullen,checked,82,82,Burnley,Premier League,,,,,,,,,,
Jordan Beyer,checked,83,83,Burnley,Premier League,,,,,,,,,,
Connor Roberts,checked,82,82,Burnley,Premier League,,,,,,,,,,
Manuel Benson,checked,82,82,Burnley,Premier League,,,,,,,,,,
Anass Zaroury,checked,82,82,Burnley,Premier League,,,,,,,,,,
Lyle Foster,checked,83,83,Burnley,Premier League,,,,,,,,,,
Arijanet Muric,checked,81,81,Burnley,Premier League,,,,,,,,,,
Vitinho,checked,83,83,Burnley,Premier League,,,,,,,,,,
Darko Churlinov,checked,82,82,Burnley,Premier League,,,,,,,,,,
James Trafford,checked,82,82,Burnley,Premier League,,,,,,,,,,
Dara O'Shea,checked,83,83,Burnley,Premier League,,,,,,,,,,
Sander Berge,checked,84,84,Burnley,Premier League,,,,,,,,,,
Hjalmar Ekdal,checked,82,82,Burnley,Premier League,,,,,,,,,,
Lorenz Assignon,checked,82,82,Burnley,Premier League,,,,,,,,,,
Aaron Ramsey,checked,83,83,Burnley,Premier League,,,,,,,,,,
David Datro Fofana,checked,85,85,Burnley,Premier League,,,,,,,,,,
Zeki Amdouni,checked,83,83,Burnley,Premier League,,,,,,,,,,
Ameen Al-Dakhil,checked,82,82,Burnley,Premier League,,,,,,,,,,
Lawrence Vigouroux,checked,Burnley,Premier League,,,,,,,,,,
Luca Koleosho,checked,84,84,Burnley,Premier League,,,,,,,,,,
Mike Tresor,checked,82,82,Burnley,Premier League,,,,,,,,,,
Scott Twine,checked,82,82,Bristol City,Premier League,,,,,,,,,,
Jacob Bruun Larsen,checked,83,83,Burnley,Premier League,,,,,,,,,,
Han-Noah Massengo,checked,82,82,Burnley,Premier League,,,,,,,,,,
Hannes Delcroix,checked,81,81,Burnley,Premier League,,,,,,,,,,
Wilson Odobert,checked,83,83,Burnley,Premier League,,,,,,,,,,
Enock Agyei,checked,80,80,Burnley,Premier League,,,,,,,,,,
Neto,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Ryan Fredericks,checked,82,83,Bournemouth,Premier League,,,,,,,,,,
Milos Kerkez,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Lewis Cook,checked,83,84,Bournemouth,Premier League,,,,,,,,,,
Lloyd Kelly,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Chris Mepham,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Romain Faivre,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Dominic Solanke,checked,87,87,Bournemouth,Premier League,,,,,,,,,,
Ryan Christie,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Dango Outtara,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Darren Randolph,checked,82,82,Bournemouth,Premier League,,,,,,,,,,
Alex Scott,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Adam Smith,checked,83,83,Bournemouth,Premier League,,,,,,,,,,
Marcus Tavernier,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Luis Sinisterra,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Tyler Adams,checked,85,85,Bournemouth,Premier League,,,,,,,,,,
Justin Kluivert,checked,85,85,Bournemouth,Premier League,,,,,,,,,,
Ionut Radu,checked,83,83,Bournemouth,Premier League,,,,,,,,,,
James Hill,checked,83,83,Bournemouth,Premier League,,,,,,,,,,
Antoine Semenyo,checked,85,85,Bournemouth,Premier League,,,,,,,,,,
Marcos Senesi,checked,85,85,Bournemouth,Premier League,,,,,,,,,,
Enes Unal,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Illya Zabarnyi,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Philip Billing,checked,84,84,Bournemouth,Premier League,,,,,,,,,,
Max Aarons,checked,83,83,Bournemouth,Premier League,,,,,,,,,,
Mark Travers,checked,82,82,Bournemouth,Premier League,,,,,,,,,,
Dominic Sadi,checked,79,79,Bournemouth,Premier League,,,,,,,,,,
Marc Cucurella,checked,83,83,Chelsea,Premier League,,,,,,,,,,
Noni Madueke,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Marcus Bettinelli,checked,83,83,Chelsea,Premier League,,,,,,,,,,
Lesley Ugochukwu,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Carney Chukwuemeka,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Cole Palmer,checked,88,Chelsea,Premier League,,,,,,,,,,
Levi Colwill,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Malo Gusto,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Dorde Petrovic,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Cesare Casadei,checked,84,84,Chelsea,Premier League,,,,,,,,,,
Deived Washington,checked,83,83,Chelsea,Premier League,,,,,,,,,,
