
Mental
Commander: Communication,Concentration,Drive,Leadership
Controller: Anticipation,Composure,Decisions,Tempo
Creator: Creativity,Guile,Unpredictability,Vision

Physical
Powerhouse: Aggression,Duels,Shielding,Throwing
Sprinter: Acceleration,Balance,Movement,Pace
Target: AerialDuels,Heading,Jumping,Volleys

Tactical
Cover: Awareness,Discipline,Interceptions,Positioning
Destroyer: Blocking,Clearances,Marking,Tackling
Engine: Intensity,Pressing,Stamina,Versatility

Technical
Dribbler: Carries,FirstTouch,Skills,Takeons
Passer: PassAccuracy,Crossing,PassRange,ThroughBalls
Striker: ShortRange,MidRange,LongRange,Penalties

GK: Agility,Footwork,Handling,Reactions

var PlayerModels = [Controller,Commander,Creator,Target,Sprinter,Powerhouse,Cover,Engine,Destroyer,Dribbler,Passer,Striker,GK];
var PlayerModelNames = ["Controller","Commander","Creator","Target","Sprinter","Powerhouse","Cover","Engine","Destroyer","Dribbler","Passer","Striker","GK"];
var PlayerModelAttributes = ["Anticipation","Decisions","Composure","Tempo","Communication","Competitiveness","Drive","Leadership","Creativity","Flair","Guile","Vision","AerialDuels","Heading","Jumping","Volleys","Acceleration","Balance","Movement","Pace","Aggression","Duels","Shielding","Throwing","Awareness","Clearances","Discipline","Positioning","Intensity","Pressing","Stamina","Versatility","Bravery","Interceptions","ShotBlock","Tackling","Carries","FirstTouch","Skills","Takeons","Accuracy","Crossing","Range","ThroughBalls","Finishing","LongShots","Penalties","ShotPower","Agility","Handling","Reactions","Sweeping"];

var PlayerModelAttributesShort = ["Ant","Dec","Com","Tem","Com","Com","Dri","Lea","Cre","Fla","Gui","Vis","Aer","Hea","Jum","Vol","Acc","Bal","Mov","Pac","Agr","Due","Shi","Thr","Awa","Cle","Dis","Pos","Int","Pre","Sta","Ver","Bra","Int","Sho","Tac","Car","Fir","Ski","Tak","Acc","Cro","Ran","Thr","Fin","Lon","Pen","Sho","Agi","Han","Rea","Swe"];


