Position	Prize money
1st	£44 million ($54.4 million)
2nd	£41.8 million ($51.7 million)
3rd	£39.6 million ($49 million)
4th	£37.4 million ($46.3 million)
5th	£35.2 million ($43.6 million)
6th	£33 million ($40.8 million)
7th	£30.8 million ($38.1 million)
8th	£28.6 million ($35.4 million)
9th	£26.4 million ($32.7 million)
10th	£24.2 million ($29.9 million)
11th	£22 million ($27.2 million)
12th	£19.8 million ($24.5 million)
13th	£17.6 million ($21.8 million)
14th	£15.4 million ($19.1 million)
15th	£13.2 million ($16.3 million)
16th	£11 million ($13.6 million)
17th	£8.8 million ($10.9 million)
18th	£6.6 million ($8.2 million)
19th	£4.4 million ($5.4 million)
20th	£2.2 million ($2.7 million)
