
Mental
Controller: Anticipation,Decisions,Composure,Tempo
Commander: Communication,Drive,Leadership,Competitiveness
Creator: First Touch,Flair,Guile,Vision

Physical
Target: Aerial Duels,Heading,Jumping,Volleys
Sprinter: Acceleration,Agility,Movement,Pace
Powerhouse: Aggression,Duels,Shielding,Throwing

Tactical
Cover: Awareness,Clearances,Discipline,Positioning
Engine: Intensity,Pressing,Stamina,Versatility
Destroyer: PassBlock,PlayerBlock,ShotBlock,Tackling


Technical
Dribbler: Balance,Carries,Skills,Takeons
Passer: Pass Accuracy,Cross,Pass Range,Through
Striker: Finishing,Long Shots,Penalties,ShotPower

GK: Handling, Reactions

