person_id,name,position,current_level,suggested_level,gap,overall,role_score,role,grades,club,league
8691,Arjen Robben,WF,46,83,-37,54,83,Inside Forward,29,FC Groningen,Eredivisie
14830,Matthew Etherington,WF,42,75,-33,46,75,Inside Forward,20,Stoke City,Championship
5118,Michel Bastos,WF,42,73,-31,46,73,Inside Forward,20,,
1916,Diego Lugano,CD,42,72,-30,45,72,Stopper,20,,
3331,Jermaine Pennant,WF,42,72,-30,45,72,Inside Forward,20,,
16346,Piotr Trochowski,WF,42,72,-30,46,72,Inside Forward,20,Augsburg,Bundesliga
6684,Shaun Wright-Phillips,WF,44,73,-29,47,73,Inside Forward,20,,
6421,Salomon Kalou,WF,43,72,-29,49,72,Inside Forward,29,,
3480,John Utaka,WF,43,72,-29,46,72,Inside Forward,20,Aswan FC,
4986,Mauro Zárate,WF,46,74,-28,51,74,Inside Forward,29,,
5971,Quincy Owusu-Abeyie,WF,45,73,-28,47,73,Inside Forward,20,Boavista,
18449,Walter Samuel,CD,44,72,-28,47,72,Stopper,20,FC Basel 1893,Swiss Super League
13786,Ledley King,CD,44,72,-28,47,72,Stopper,20,,
5206,Miloš Krasić,WF,44,72,-28,47,72,Inside Forward,20,Lechia Gdańsk,
16357,Portu,WF,42,70,-28,49,70,Inside Forward,51,Girona,La Liga
13707,Landon Donovan,WF,42,70,-28,46,70,Inside Forward,20,,
15788,Nolito,WF,46,73,-27,49,73,Inside Forward,20,,
16928,Ryan Babel,WF,45,72,-27,51,72,Inside Forward,29,,
7955,Aiden McGeady,WF,44,71,-27,50,71,Inside Forward,29,,
6009,Raffaele Palladino,WF,42,69,-27,47,69,Inside Forward,29,,
3345,Jerome Thomas,WF,42,69,-27,45,69,Inside Forward,20,Port Vale,League Two
2325,Fernando Belluschi,WF,42,69,-27,46,69,Inside Forward,20,,
16964,Ryan Nelsen,CD,42,69,-27,45,69,Stopper,20,Tottenham Hotspur,Premier League
5669,Paolo Cannavaro,CD,42,69,-27,44,69,Stopper,29,Sassuolo,Serie B
18167,Tranquillo Barnetta,WF,43,69,-26,49,69,Inside Forward,29,FC St. Gallen 1879,
10892,Fabricio Coloccini,CD,42,68,-26,45,68,Stopper,29,,
1660,Darren Ambrose,WF,42,68,-26,48,68,Inside Forward,34,Colchester United,League Two
16629,Richard Dunne,CD,42,68,-26,43,68,Stopper,29,Queens Park Rangers,Championship
1712,David Di Michele,WF,40,66,-26,49,66,Inside Forward,34,,
7634,Zoran Tošić,WF,50,75,-25,54,75,Inside Forward,29,,
11851,Hulk,WF,49,74,-25,55,74,Inside Forward,39,,
2976,Ibrahim Afellay,WF,47,72,-25,50,72,Inside Forward,29,PSV,Eredivisie
2097,Eljero Elia,WF,46,71,-25,50,71,Inside Forward,29,ADO Den Haag,Eerste Divisie
16670,Rio Ferdinand,CD,46,71,-25,47,71,Stopper,29,Queens Park Rangers,Championship
8091,Alessandro Nesta,CD,46,71,-25,49,71,Stopper,20,,
3537,Jonathan Pitroipa,WF,45,70,-25,47,70,Inside Forward,20,Paris FC,Ligue 2
3673,Juan Manuel Vargas,WF,44,69,-25,46,69,Inside Forward,29,Universitario de Deportes,
16296,Phil Jagielka,CD,44,69,-25,47,69,Stopper,29,Stoke City,Championship
